"49","Cuba","10,065","10,507","10,847","11,072","11,198","11,098","11,031","5,785","6,381","7,027","7,810","8,543","9,290","9,653"
"50","Curaçao (Netherlands)","154","145","142","134","136","143","148","101","112","124","134","145","149","148"
"51","Cyprus","679","745","847","920","1,011","1,103","1,189","494","533","579","600","627","627","630"
"52","Czech Republic","10,310","10,310","10,324","10,270","10,241","10,202","10,130","8,925","9,366","9,660","9,777","9,795","10,042","10,289"
"53","Denmark","5,114","5,141","5,233","5,337","5,432","5,516","5,582","4,271","4,439","4,581","4,758","4,929","5,060","5,123"
"54","Djibouti","382","499","553","669","666","741","828","79","90","111","142","180","227","327"
"55","Dominica","73","70","71","71","72","73","74","51","57","60","64","70","74","74"
"56","Dominican Republic","6,379","7,084","7,759","8,469","9,164","9,824","10,479","2,353","2,737","3,231","3,806","4,423","5,048","5,697"
"57","Ecuador","9,062","10,318","11,266","12,446","13,662","14,791","15,868","3,370","3,842","4,416","5,118","5,939","6,872","7,920"
"58","Egypt","50,052","54,907","58,945","65,159","72,544","80,472","88,487","21,198","23,856","26,847","30,265","33,574","36,952","42,634"
"59","El Salvador","4,671","5,110","5,480","5,850","5,956","6,052","6,141","1,940","2,221","2,582","3,018","3,604","4,073","4,570"
"60","Equatorial Guinea","325","371","426","491","567","651","741","211","226","244","253","270","213","256"
"61","Eritrea","2,941","3,138","3,565","4,197","5,070","5,793","6,528","1,403","1,499","1,615","1,746","2,160","2,421","2,569"
"62","Estonia","1,538","1,569","1,447","1,380","1,333","1,291","1,249","1,096","1,154","1,211","1,288","1,363","1,432","1,482"
"63","Ethiopia","42,227","48,397","55,550","64,165","74,980","88,013","103,134","20,175","21,990","24,169","26,740","29,469","32,976","36,036"
"64","Faroe Islands (Denmark)","46","47","44","46","48","49","50","32","33","35","37","39","41","43"
"65","Federated States of Micronesia","91","109","106","108","108","107","105","31","36","42","49","57","66","77"
"66","Fiji","699","740","773","805","837","876","909","287","332","393","463","521","576","635"
"67","Finland","4,902","4,986","5,105","5,169","5,223","5,255","5,271","4,009","4,235","4,430","4,564","4,606","4,711","4,780"
"68","France","56,490","58,168","59,712","61,137","62,912","64,768","66,301","42,518","44,218","46,584","49,802","51,918","53,955","55,110"
"69","French Polynesia","175","200","217","236","254","269","283","62","72","81","95","114","133","151"
"70","Gabon","833","938","1,069","1,236","1,396","1,545","1,705","416","429","446","474","515","647","714"
"71","Gambia","773","951","1,161","1,357","1,548","1,755","1,968","271","306","352","412","485","566","652"
"72","Gaza Strip","532","646","886","1,130","1,350","1,604","1,869","245","266","308","350","343","395","456"
"73","Georgia","5,193","5,426","5,013","4,777","4,677","4,601","4,525","3,516","3,827","4,147","4,465","4,694","4,898","5,046"
"74","Germany","77,685","79,380","81,654","82,184","82,439","81,644","80,854","68,375","70,196","72,481","75,639","77,783","78,682","78,298"
"75","Ghana","13,229","15,408","17,704","19,752","22,062","24,340","26,585","5,297","6,049","6,958","8,010","8,789","10,117","11,011"
"76","Gibraltar (UK)","29","29","27","27","28","29","29","23","24","24","25","26","29","29"
"77","Greece","9,923","10,130","10,458","10,559","10,668","10,750","10,776","7,566","7,966","8,327","8,550","8,793","9,047","9,643"
"78","Greenland (Denmark)","53","56","56","57","58","58","58","22","27","32","39","46","50","50"
"79","Grenada","93","94","98","102","105","108","111","76","85","90","93","95","96","90"
"80","Guam (US)","121","134","144","155","169","181","193","60","69","67","74","86","102","107"
"81","Guatemala","7,581","8,966","10,028","11,085","12,183","13,550","14,919","2,969","3,487","4,100","4,746","5,264","5,910","6,650"
"82","Guernsey (UK)","55","63","61","62","63","65","66","45","46","47","50","53","54","53"
"83","Guinea","5,227","6,118","7,446","8,350","9,154","10,324","11,780","2,586","2,787","3,026","3,314","3,643","4,019","4,447"
"84","Guinea-Bissau","885","996","1,143","1,279","1,414","1,565","1,726","573","592","617","604","620","681","789"
"85","Guyana","762","772","769","786","776","748","739","428","491","571","640","715","768","759"
"86","Haiti","6,120","6,798","7,570","8,413","9,205","9,649","10,110","3,097","3,365","3,697","4,094","4,541","4,973","5,508"
"87","Honduras","4,077","4,794","5,551","6,359","7,193","7,989","8,747","1,431","1,662","1,952","2,329","2,761","2,858","3,402"
"88","Hong Kong (China)","5,456","5,688","6,225","6,659","6,899","7,090","7,235","2,237","2,490","3,075","3,598","3,959","4,396","5,063"
